Week,MinTemp,MaxTemp,Rainfall,Evaporation,Humidity,Pressure,Blight
1,8,24.3,0,3.4,68,1019.7,1
2,14,26.9,3.6,4.4,80,1012.4,1
3,13.7,23.4,3.6,5.8,82,1009.5,1
4,13.3,15.5,39.8,7.2,62,1005.5,1
5,7.6,16.1,2.8,5.6,68,1018.3,0
6,6.2,16.9,0,5.8,70,1023.8,0
7,6.1,18.2,0.2,4.2,63,1024.6,0
8,8.3,17,0,5.6,65,1026.2,0
9,8.8,19.5,0,4,70,1026.1,1
10,8.4,22.8,16.2,5.4,82,1024.1,0
11,9.1,25.2,0,4.2,74,1024.4,0
12,8.5,27.3,0.2,7.2,54,1023.8,0
13,10.1,27.9,0,7.2,62,1022,0
14,12.1,30.9,0,6.2,67,1017.3,0
15,10.1,31.2,0,8.8,45,1018.2,0
16,12.4,32.1,0,8.4,70,1017.9,0
17,13.8,31.2,0,7.2,72,1014.4,1
18,11.7,30,1.2,7.2,59,1016.4,0
19,12.4,32.3,0.6,7.4,60,1017.1,0
20,15.6,33.4,0,8,61,1018.5,0
21,15.3,33.4,0,8.8,60,1012.4,0
22,16.4,19.4,0.4,9.2,88,1010.7,1
23,12.8,18.5,25.8,2.8,91,1014,0
24,12,24.3,0.4,1.2,74,1020.7,0
25,15.4,28.4,0,4.4,85,1022.4,0
26,15.6,26.9,0,6.8,65,1019.7,0
27,13.3,22.2,0.2,6.6,70,1021,0
28,12.9,28,0,4.4,61,1019.2,0
29,15.1,24.3,0,7,69,1019,0
30,13.6,24.1,0.4,2.6,83,1017.2,1
31,15.1,20.4,22.6,2.4,82,1015,1
32,11.6,26.3,4.2,1.6,66,1013.9,0
33,16.6,24.2,0.2,6.6,72,1007.9,1
34,13.3,26.5,6.6,3.8,74,1007.3,0
35,14.5,21.8,0,8.4,69,1015,0
36,16.3,26.8,0,6,78,1018.8,0
37,17.2,25.8,0,4.2,70,1014.5,1
38,16.5,28.2,4,4.2,76,1014.8,0
39,15,29.4,0,6.6,78,1010.8,0
40,14.9,24.8,0,10.4,58,1011.7,0
41,11.8,18.5,0.6,4.8,60,1018,0
42,11.7,21.5,0,4.2,66,1021.1,0
43,9.6,20.3,0,5,70,1021.9,0
44,8.9,27.1,0,4.4,63,1018.1,0
45,10.1,29.9,0,6.8,63,1012.6,1
46,15.5,21.1,5.4,6.4,93,1010.1,1
47,10.8,21.7,1.4,2.8,59,1017.6,0
48,7.5,20.9,0,6.6,61,1020.6,0
49,12.8,21,0,6.4,72,1018,1
50,12.6,23.1,3.4,1.6,97,1015.8,1
51,14.8,29.5,6.4,1.8,81,1012.9,1
52,19.9,22,11,4.4,92,996.5,1
53,9.2,20.4,17.4,7.8,59,1009.5,0
54,12.4,24.4,0,6.2,69,1012.8,1
55,11.3,21.7,3.4,8.2,67,1020.4,0
56,9.8,26.3,0,5.2,63,1023.2,0
57,14.3,26.7,0,7.2,68,1017.3,1
58,15.1,28.3,14.4,8.8,73,1016.8,0
59,14.4,31.6,0,6.6,65,1017.1,0
60,15.4,35,0,9.6,55,1017.4,0
61,13.8,33.5,0,11.4,44,1019.2,0
62,13.6,34.2,0,8.8,50,1015.8,0
63,14.3,35,0,7.6,43,1012.6,0
64,15.9,23.4,0,12.6,69,1016.8,0
65,16.7,25.3,0,6.2,56,1016.2,0
66,12.1,27.5,0,7.4,69,1011.8,0
67,14.3,34.1,0,6.6,77,1006.6,0
68,16.5,33.9,0,9,60,1012.3,0
69,16.5,30.3,0,10,77,1015.7,0
70,17.5,29.9,0,6.6,74,1018.5,0
71,14.7,34.2,0,6.6,64,1017.8,0
72,17.5,35.8,0,9.4,56,1011.8,0
73,20.9,35.7,0,13.8,61,1007.6,1
74,17,33.8,2,9,65,1004,0
75,16,22.8,0,12.4,70,1012.3,0
76,15.4,33.8,0,5.2,70,1014.2,0
77,17.9,33.2,0,10.4,58,1008.5,1
78,15.2,25.1,4.8,6.4,62,1016.8,0
79,15.1,20.4,0,9.6,63,1017.5,1
80,15.3,19.6,18.8,5,92,1008.7,1
81,17.2,24.7,12.2,1.4,80,1004.9,0
82,15.9,19.9,0.8,5.6,73,1011.4,0
83,10,22.5,0,4.4,55,1018.7,0
84,9.9,24.4,0,5.8,60,1021.6,0
85,10.3,27.8,0,6.4,64,1021.3,0
86,15.4,25.7,0,6.8,67,1020.1,0
87,12.7,28.8,0,7.4,70,1016.5,0
88,13.2,31.3,0,6.6,71,1013.1,0
89,15.3,33.2,0,9.4,60,1013.9,0
90,17.9,33.9,0,10.4,72,1017.4,0
91,18,34.9,0,9.2,68,1018,1
92,17.6,27.8,5.2,10.2,66,1014.6,1
93,16,23.8,2.2,5.4,73,1018.9,0
94,14.9,28.8,0,5.8,71,1018.2,0
95,17.1,29.6,0,5.8,67,1016.7,1
96,18.2,22.6,1.8,8,92,1014.4,1
97,16.8,22.8,9,2.8,88,1010,0
98,13.6,27.4,1,2.8,77,1002.1,0
99,14.5,24.2,0,6.8,76,999.4,1
100,12.4,19.9,16.2,5.4,75,1007.6,0
101,10.4,20.9,0,4,65,1007.7,0
102,9.1,23.1,0,5.8,66,1013.6,0
103,8.9,26,0,5,74,1016.1,1
104,14.5,24.2,4.4,6.6,95,1010.8,1
105,12.6,18.2,11,3.2,81,1010,0
106,8.6,24.2,0.2,2.8,63,1017.5,0
107,10.8,25.2,0,5.6,69,1020.2,0
108,11.2,26.1,0,7.2,71,1022.9,0
109,12.1,24.1,0,7.4,64,1025.2,0
110,10.8,25.8,0,6.8,72,1021.3,0
111,11.4,27.1,0,5.6,69,1017.6,0
112,12,28.9,0,7.2,78,1012.2,1
113,16.3,24.8,1.8,7.8,88,1011.8,1
114,12.7,28.6,6.6,3.2,78,1008.3,0
115,12.7,25.1,0,7.8,57,1007.4,0
116,12,23.8,0,10.4,54,1007.9,0
117,11.5,25.9,0,5.2,70,1016.4,0
118,13,28.2,0,5,74,1017.6,0
119,11.7,27.6,0,7.8,74,1013.6,0
120,14.8,17.3,0,7.6,74,1010,1
121,7.7,18.4,10.4,5.2,58,1015.5,0
122,4.4,21.8,0,6.2,60,1020.8,0
123,7.4,24.4,0,6.2,65,1026.3,0
124,8.3,27.3,0,5.6,78,1025.4,0
125,10.1,28.2,0,6,72,1021.1,0
126,12,27.6,0,6,69,1025.5,0
127,12.9,31.8,0,6,76,1023.9,0
128,10.8,29.2,0,8.4,56,1021.6,1
129,9.5,27.4,3,4.8,79,1024.7,0
130,12.1,27.8,0,5,66,1024.8,0
131,12.5,31.7,0,6.6,74,1024.9,0
132,13.9,34.7,0,6.4,50,1022.8,0
133,13.3,31.7,0.2,7.8,80,1021.6,0
134,13.2,33.1,0,8.6,91,1020.9,0
135,12.3,33.8,0,7.2,57,1022.6,0
136,13.8,35.2,0,6.4,47,1022.5,0
137,11.3,32.3,0,9.4,44,1024.3,0
138,11.7,30.2,0,7.8,73,1024.3,0
139,12.5,29.9,0,5.8,76,1022.7,0
140,15.1,26.2,0,9,59,1022.1,0
141,11.5,29.3,0,5.2,76,1013.8,0
142,13,14.8,0,8.2,77,1017.4,0
143,11.6,19.6,0,2.8,71,1023.6,0
144,12.8,24.9,0,2.4,76,1023.2,0
145,15.5,22.4,0.6,4.8,89,1018.7,1
146,13.1,17.4,6.4,2.8,94,1010.2,1
147,12.6,20.2,19.8,2.6,76,1007.9,0
148,4.4,18.3,0,4.6,80,1014.8,0
149,4.4,18.2,0,3.6,78,1017.4,0
150,7.1,18.5,0,3.4,90,1015.1,0
151,4.2,18.9,0,6.4,60,1011.2,0
152,9.6,18.8,0,6.4,54,1012.7,0
153,3.5,21.8,0,6,72,1023.9,0
154,5.3,23.3,0,3.6,90,1018,1
155,7,14.3,2.6,9.6,68,1010.3,0
156,0.4,18.9,0,4.8,77,1021.2,0
157,3.2,21.4,0,3.2,76,1025.2,0
158,5.9,21.8,0,2.8,70,1028,0
159,8.1,20.5,0,3.8,66,1027.8,0
160,6.9,18.9,0,4.2,68,1028.2,0
161,5.6,19.5,0,2.8,69,1025.7,0
162,7.2,22.9,0,2.2,82,1023.1,0
163,7.1,23.4,0,3.4,72,1021,0
164,6.1,24.1,0,4.6,75,1019.2,1
165,7.1,19.8,2,3.2,96,1018.4,1
166,5.6,18,5.2,3.8,70,1020.8,0
167,5.4,20.7,0,3.2,66,1027.2,0
168,6.3,19.3,0,3.4,65,1027.9,0
169,5.3,21,0,4.6,77,1027.2,0
170,7.9,19.7,0,3.2,58,1027.3,0
171,8.4,16.1,0,3,69,1029.5,0
172,8.1,18.7,0,4.4,66,1028.2,0
173,2.4,20.6,0,2.8,77,1024.8,0
174,5.6,18.9,0,3.8,79,1025.8,0
175,7.5,19,0,4,74,1025.5,0
176,2.5,21.2,0,2,82,1023.7,0
177,5,20.9,0,2,84,1019.9,0
178,3.8,21.7,0.2,2.8,99,1011.9,0
179,7.9,18.7,0,5.8,68,1003.2,1
180,4.3,11.3,7.2,4.4,75,1006.3,0
181,-2.1,13.8,0.2,1.8,69,1020.6,0
182,-1.8,14.8,0,1.4,80,1024.2,0
183,3.8,13.8,0,2.8,67,1020.6,0
184,2.1,17.3,0,1.6,81,1020,0
185,0.5,17.1,0,4,74,1020.8,0
186,-0.9,16.7,0,2.4,76,1022.7,0
187,0.4,19,0,3.4,76,1019.8,0
188,7.5,16.8,0,2.8,70,1018,0
189,8.3,17.6,0,3.4,73,1015.8,0
190,-0.2,18.1,0,4.4,80,1021.4,0
191,0.1,21,0,2.2,78,1023.2,0
192,1.5,20.9,0,2.4,80,1023.2,0
193,8.3,17.4,0,2,80,1024.4,0
194,9.4,19.2,0,2.2,73,1024.2,0
195,1.3,19,0,2.2,87,1024.7,0
196,2.2,18.6,0,2,84,1024.4,0
197,-0.4,17.9,0,2.4,80,1023.5,1
198,4.5,16,1.8,3,88,1017.7,0
199,7.9,12.3,1,1.8,68,1006.3,0
200,4.3,14.1,0.8,1.6,71,1008.4,0
201,-2.7,18.1,0,2.2,85,1017.8,0
202,0.3,17,0,2.2,99,1021.9,0
203,3.8,17.4,0,2.6,81,1024.5,0
204,2.4,14.7,0,2.6,74,1030.4,0
205,1.2,14.8,0,2.4,81,1028.5,0
206,1.2,14.5,0,1.2,74,1026.7,0
207,-0.3,17.5,0,1.6,81,1025.5,1
208,4.7,18.5,3.8,2,99,1026.6,1
209,4.9,18.1,5.2,1.2,93,1025.7,0
210,1.4,16.8,0,1.6,91,1027.2,0
211,2.2,17.5,0.2,1.2,92,1032.1,0
212,-0.1,18,0,2,83,1033.2,0
213,-0.9,18.5,0,2.2,84,1030.2,0
214,0.6,14,0,2.2,99,1032.3,0
215,4.6,15.7,0,1,85,1030.3,0
216,9.8,14.4,0.8,0.6,99,1028.5,1
217,10.6,15.1,3.8,0.2,78,1028.2,0
218,7.8,15.1,0,2.2,84,1025.9,0
219,4.4,16.7,0,1.6,74,1025.2,0
220,-0.2,15.5,0,1.4,86,1027.6,0
221,4.3,14.5,0,2,76,1034.3,0
222,7.4,16.3,0,1.2,75,1031.4,1
223,8.6,13.7,6.2,2.2,97,1027.8,1
224,10.2,15,4.8,0.2,90,1022.9,0
225,7.3,16.4,0.2,1.2,86,1023.7,0
226,8.7,13,0.6,3.2,82,1013.7,0
227,1,11.8,0,2.2,73,1025.7,0
228,2.1,14.7,0,2.6,72,1029,0
229,6.4,16.9,0,2.6,78,1027.8,0
230,5.4,15.5,0,1.6,80,1028.6,0
231,0.4,15.5,0,1,97,1026.7,0
232,4,15.9,0,0.6,95,1022.5,1
233,8.4,11.7,4.8,0.6,91,1021.2,0
234,0.4,13.9,0.6,0.8,99,1023,0
235,4.2,14,0,1.4,74,1026.4,0
236,0.9,12.9,0,2,92,1025.1,0
237,0.8,13,0,1.4,95,1028.2,0
238,4.3,12.6,0,2,75,1026.3,0
239,6.3,11.8,0,2.6,81,1018.7,0
240,3.5,14.3,0,3.4,71,1027.8,0
241,-1.5,14.8,0,2.2,90,1029.1,0
242,1.2,16,0,1.4,84,1024.6,0
243,0.5,15.4,0,2.4,53,1017.2,1
244,5.3,11.7,2,3.6,73,1012.1,0
245,6.6,13.1,0.2,2.8,62,1013.5,0
246,-1.6,11.5,0,2.8,82,1024.3,0
247,-3.1,12,0,1.8,80,1030.5,0
248,-0.1,14.2,0,1.4,81,1032.9,0
249,-0.6,14,0,1.2,86,1030,0
250,3,11.1,0.8,1.4,99,1024.4,1
251,2.9,9.5,16.8,1.4,93,1021.6,0
252,-1.3,8.8,0,0.8,95,1020,0
253,1.8,8.7,0,1.8,83,1014.6,1
254,2.9,8.4,1.6,1.4,76,1016.7,0
255,-2.6,11.1,0.2,1.4,87,1027.1,0
256,0.5,11,0,1,92,1024.4,0
257,2.7,16.5,0,0.6,93,1021.8,0
258,-1.7,13.6,0,1.8,83,1023,0
259,-0.9,12.8,0.2,2,99,1024.1,0
260,-1.8,11.5,0,0.6,99,1019.7,0
261,1.3,10.6,0,0.8,75,1010.8,1
262,2.4,11.6,1.2,2.2,71,1016.7,0
263,-1.1,11,0.2,1.8,92,1014.4,1
264,2.3,11.6,19.2,1.8,78,1006.9,0
265,-2.2,11.6,0,1.4,68,1025.7,0
266,-3.5,11.2,0,1.6,76,1033.5,0
267,-1,12.2,0,1.6,82,1032.2,0
268,-2.1,12.9,0,1.2,92,1025.7,0
269,-2,11.3,0.2,2.2,88,1020,0
270,-2.3,9.7,0,1.4,92,1013.8,1
271,-1.6,10.7,1.4,0.8,74,1014.1,0
272,0.8,12.2,0,1.8,69,1020.9,0
273,-2.8,12.2,0,2.6,84,1018.3,0
274,-2.8,14.1,0,2.2,81,1017.3,0
275,3,9.7,1,2.6,64,1005.1,1
276,4.4,11.5,6.6,2.2,67,1013.9,0
277,2.3,12.8,0,2.2,70,1021.2,0
278,-2,12.3,0,2.4,81,1020.9,0
279,-1.9,10.9,0,1.8,78,1020.8,1
280,4.8,14.1,4,1.6,67,1018.2,0
281,-0.6,11.1,0,3,89,1018.4,1
282,3.1,12.5,1.2,1.4,69,1019.8,0
283,-2.9,9.6,0,1.8,76,1022.4,0
284,-3.5,7.6,0.4,2.4,92,1014.8,0
285,-0.3,9.3,0.4,1.4,72,1017.4,0
286,0.1,10.4,0,1.8,69,1021.3,0
287,2.3,12.2,0,2.8,58,1024.2,0
288,2.1,10.7,0,3.4,59,1022.2,0
289,4.6,14.7,0,4.4,54,1014.7,0
290,3.7,14.2,0,3,52,1012.7,0
291,-1.3,11.6,0,4,59,1023.3,0
292,-3.4,12.5,0,3,89,1025.2,0
293,-5.3,13.1,0,2.2,94,1029.6,0
294,0,14,0,2.4,60,1027.3,0
295,2.4,14.1,0,3,50,1021.4,0
296,-0.6,12.2,0,2.6,66,1018.5,0
297,2.3,11.6,0,5.4,49,1025.9,0
298,-3.7,14.4,0,2.6,64,1031,0
299,-0.9,14.2,0,2.6,82,1030.2,0
300,-1.5,17.3,0,2.8,77,1023.9,0
301,-3.3,15.1,0,3,57,1027.7,0
302,-0.1,14.7,0,3.4,60,1029.9,0
303,-0.2,16.2,0,3.4,74,1027.6,0
304,0.5,16.3,0,1.8,81,1023.7,1
305,6.1,17.2,4,2.2,89,1011.2,1
306,4.1,14.8,7.4,2.6,60,1023.2,0
307,0.1,16.7,0,3.8,69,1027,0
308,3.2,12.1,0,2.8,69,1033.6,0
309,5.4,11.3,0.2,2.2,65,1035.7,0
310,5.8,12.4,0,1.6,79,1027.3,0
311,6.3,16.1,0,1.8,63,1019.7,0
312,-0.9,16.7,0,2.8,84,1018.1,0
313,0.2,15.5,1,2.4,79,1020.6,0
314,-3.7,14.7,0,3.4,53,1025.8,0
315,-2.7,15.2,0,4,62,1022.8,0
316,-2.5,16.6,0,3,68,1018.8,0
317,-0.5,21.6,0,5,44,1014.6,0
318,9,25.5,0,5.6,47,1015.3,1
319,13.1,19.4,9.8,8.8,71,1007.3,1
320,8.7,19.7,1.6,5.2,63,1009.1,1
321,3.9,13.2,3.4,6.6,53,1017,0
322,0.7,14.1,0,5.6,69,1026.7,0
323,1.1,18,0,1.6,82,1021,0
324,5.1,23.3,0,3.6,54,1016.4,0
325,7.5,23.3,0,6.8,46,1012.5,0
326,4.7,19.5,0,10,42,1018.7,0
327,3.2,21.9,0,6.8,51,1012.1,1
328,7.8,16.2,17.4,6.4,73,1016.7,0
329,2.4,17.3,0,2.2,67,1030.5,0
330,3.2,18.7,0,2.6,70,1032.2,0
331,2.5,20.9,0,3.6,48,1025.4,0
332,6.5,25.7,0,4.8,62,1022.8,0
333,14.4,24.3,0,9.4,36,1010.5,0
334,4.9,18.9,0,9.6,41,1015.2,0
335,2.3,16.8,0,4.8,52,1019.8,0
336,1.4,20.6,0,5.4,56,1020.8,0
337,5.6,27.6,0,5.2,44,1017.7,0
338,16.8,28.9,0,10,44,1016.3,1
339,14.4,20.7,7.6,9.4,94,1015.5,1
340,10.3,21.3,3,4.2,79,1018.1,0
341,11.2,18,0,4.8,65,1009.5,1
342,0.3,16,8.2,5.4,68,1016.8,0
343,0.5,17.9,0,5.8,72,1019.1,0
344,0.5,20,0,6.2,69,1026.2,0
345,4.6,22,0,4.4,82,1028.8,0
346,8.2,22.4,0,5.4,70,1027.8,0
347,4.5,23.9,0,4.8,67,1025.8,0
348,6.7,26.1,0,6.2,56,1020.9,1
349,11.9,21.1,13.2,6.6,82,1019.2,0
350,9.2,19.6,0.6,3.4,71,1022.3,0
351,4.4,21,0,4.2,73,1025.7,0
352,5,24.1,0,6.2,73,1024.5,0
353,6.7,24.7,0,5.4,80,1025.7,0
354,8.3,28.5,0,5.8,66,1024.1,0
355,11.3,27.4,0.2,7.6,60,1021.4,0
356,9,20.6,0,9,54,1022.3,0
357,3.4,15,0.8,4.8,43,1023.4,0
358,3.2,18,0,7.4,47,1026.6,0
359,0.9,20.7,0,5.4,71,1023.2,0
360,3.3,25.5,0,5.2,57,1018.8,0
361,7.9,26.1,0,6.8,45,1017.6,0
362,9,30.7,0,7.6,38,1016.1,0
363,7.1,28.4,0,11.6,45,1020,0
